# Frequency       Real(mHT)             Imag(mHT)
112265.47485800     0.197560258453872    -2.193811979115923
112265.47520900     0.198669461444937    -2.199258167232481
112265.47556000     0.199788340763133    -2.204731568720461
112265.47591100     0.200917009713633    -2.210232383612901
112265.47626200     0.202055583094242    -2.215760813103739
112265.47661300     0.203204177503544    -2.221317060934983
112265.47696400     0.204362911230291    -2.226901332736752
112265.47731500     0.205531904135848    -2.232513835346732
112265.47766600     0.206711277971367    -2.238154778218613
112265.47801700     0.207901156265116    -2.243824372752381
112265.47836800     0.209101664202588    -2.249522831603564
112265.47871900     0.210312929003548    -2.255250370351468
112265.47907000     0.211535079555019    -2.261007205629179
112265.47942100     0.212768246793469    -2.266793556802969
112265.47977200     0.214012563588593    -2.272609645285807
112265.48012300     0.215268164619478    -2.278455693829036
112265.48047400     0.216535186717733    -2.284331927989841
112265.48082500     0.217813768749092    -2.290238575434389
112265.48117600     0.219104051487162    -2.296175865218613
112265.48152700     0.220406177967004    -2.302144029278710
112265.48187800     0.221720293364552    -2.308143301723641
112265.48222900     0.223046544867866    -2.314173918104754
112265.48258000     0.224385082041627    -2.320236116929820
112265.48293100     0.225736056704315    -2.326330138944619
112265.48328200     0.227099622796942    -2.332456226391139
112265.48363300     0.228475936758903    -2.338614624545639
112265.48398400     0.229865157402887    -2.344805580989068
112265.48433500     0.231267445781036    -2.351029344853525
112265.48468600     0.232682965572645    -2.357286168384898
112265.48503700     0.234111882956751    -2.363576306201800
112265.48538800     0.235554366475702    -2.369900014530010
112265.48573900     0.237010587435174    -2.376257552790201
112265.48609000     0.238480719774436    -2.382649182845119
112265.48644100     0.239964939927264    -2.389075168221662
112265.48679200     0.241463427234801    -2.395535775724254
112265.48714300     0.242976363813489    -2.402031274669948
112265.48749400     0.244503934413241    -2.408561936097815
112265.48784500     0.246046326843746    -2.415128034408513
112265.48819600     0.247603731839984    -2.421729846587009
112265.48854700     0.249176342917656    -2.428367651398883
112265.48889800     0.250764356813483    -2.435041731056725
112265.48924900     0.252367973348284    -2.441752370430043
112265.48960000     0.253987395279617    -2.448499856228225
112265.48995100     0.255622828756671    -2.455284478694239
112265.49030200     0.257274483180901    -2.462106530801448
112265.49065300     0.258942571055793    -2.468966307422786
112265.49100400     0.260627308457031    -2.475864107052392
112265.49135500     0.262328914890604    -2.482800230988928
112265.49170600     0.264047613139712    -2.489774982490578
112265.49205700     0.265783629750808    -2.496788668525210
112265.49240800     0.267537194889222    -2.503841598939807
112265.49275900     0.269308542183074    -2.510934085600858
112265.49311000     0.271097909225970    -2.518066444173662
112265.49346100     0.272905537430052    -2.525238993277439
